,bairro,aluguel,iptu,m2,dormitorios,vagas,banheiros
168,Moema,4500.0,330.0, 55,1,3,2
169,Moema,2100.0,170.0, 50,1,1,1
170,Moema,4200.0,401.0, 70,1,2,2
171,Moema,4470.0,220.0, 99,3,1,2
172,Moema,2600.0,200.0, 36,1,1,1
173,Moema,2602.0,277.0, 88,2,1,2
174,Moema,5721.0,266.0, 113,3,1,4
175,Moema,4200.0,278.0, 73,2,2,3
176,Moema,10500.0,542.0, 126,2,2,4
177,Moema,4650.0,190.0, 90,2,1,3
178,Moema,6500.0,341.0, 72,2,2,2
179,Moema,3600.0,190.0, 47,1,1,2
180,Moema,3000.0,279.0, 45,1,1,2
181,Moema,4800.0,167.0, 51,1,1,2
182,Moema,6000.0,899.0, 147,4,2,5
183,Moema,5477.0,438.0, 84,2,2,2
184,Moema,1750.0,212.0, 45,1,1,1
185,Moema,2400.0,33.0, 45,1,1,1
186,Moema,5000.0,219.0, 50,1,1,1
187,Moema,3400.0,125.0, 48,1,1,1
188,Moema,5500.0,286.0, 62,1,2,2
189,Moema,4200.0,330.0, 53,1,1,1
190,Moema,14000.0,1370.0, 210,4,4,3
191,Moema,8000.0,492.0, 120,3,2,2
192,Moema,6525.0,1880.0, 217,4,3,4
193,Moema,5990.0,390.0, 90,3,2,3
194,Moema,6900.0,356.0, 51,1,1,2
195,Moema,5300.0,350.0, 95,2,2,1
196,Moema,1900.0,177.0, 45,1,1,1
197,Moema,3500.0,134.0, 47,1,1,1
198,Moema,10000.0,189.0, 111,2,1,3
199,Moema,4480.0,401.0, 76,1,2,1
200,Moema,2301.0,130.0, 38,1,1,1
201,Moema,5978.0,390.0, 90,3,2,3
202,Moema,6000.0,795.0, 161,3,2,4
203,Moema,4100.0,365.0, 108,2,1,4
204,Moema,3000.0,150.0, 50,1,1,1
205,Moema,4000.0,100.0, 44,1,1,1
206,Moema,2150.0,208.0, 69,1,1,1
207,Moema,3500.0,380.0, 67,2,2,2
208,Moema,5200.0,435.0, 70,2,2,2
209,Moema,6000.0,689.0, 140,2,2,4
210,Moema,3000.0,70.0, 45,1,1,1
211,Moema,4500.0,330.0, 55,1,1,2
212,Moema,2630.0,120.0, 36,1,1,1
